# Jupiter Comets: 2020-02
full_name,q,e,i,om,w
"    3D/Biela",0.879073,0.751299,13.2164,250.669,221.6588
"    4P/Faye",1.651876343070432,.5696175496849397,9.070294510274881,199.143982411512,205.1258177176394
"    5D/Brorsen",0.589847,0.809796,29.3821,102.9676,14.9468
"    6P/d'Arrest",1.361454546530219,.6114219228700193,19.48168162749337,138.9337127711251,178.1152293178701
"    7P/Pons-Winnecke",1.256321531329701,.6343313665696637,22.29572543641639,93.4271739450365,172.2578384886801
"    8P/Tuttle",1.0271165870984511059305,0.8197997470243816309221,54.983184844602092766763,270.3416520050764,207.5092459727414
"    9P/Tempel 1",1.542550127439142,.5096281532918884,10.47384968734578,68.74966103791918,179.2033676182859
"   10P/Tempel 2",1.422064373392274,.5363053264755365,12.02316638247682,117.80535113,195.6268736657003
"   11P/Tempel-Swift-LINEAR",1.553578679370059,.54491240285974,13.55352223000043,240.5247361135055,163.8995560777387
"   14P/Wolf",2.728580133624865,.3574819125650833,27.94266231240148,202.1079110296776,159.1911756283212
"   15P/Finlay",.9746503145016036,.7204670323736734,6.803655945058429,13.80063967391148,347.5656143942961
"   16P/Brooks 2",1.466792470259358,.5632234095202744,4.261187225367249,159.2804324225749,219.7488417157946
"   17P/Holmes",2.056613744247324,.4318134405110877,19.09175525320228,326.764799658168,24.515349359396
"   18D/Perrine-Mrkos",1.27224808138711,0.642580982439164,17.7589827722319,240.8755466309168,166.0504171249452
"   19P/Borrelly",1.359799738782305,.6232892711821078,30.31307021679391,75.43597686258941,353.3506872274951
"   21P/Giacobini-Zinner",1.013489342692091,.7104699378118496,32.0031656272371,195.4058367303552,172.8089014201373
"   22P/Kopff",1.576085499489762,.5441848835414173,4.723924257820427,120.8750686455848,162.7019154398944
"   24P/Schaumasse",1.20616902407146,.7048377385790582,11.73397999992298,79.66577775476655,58.00232148852397
"   25D/Neujmin 2",1.33816964707983,0.566818596285863,10.6387130963875,328.7169509657245,193.7040335562024
"   26P/Grigg-Skjellerup",1.116736323909562,.6330527671345312,22.35649066304651,211.710319637668,1.704070781269587
"   28P/Neujmin 1",1.552048756722864,.7755384923629269,14.18548878707109,347.033414280979,346.9150937699166
"   29P/Schwassmann-Wachmann 1",5.723870075793497,.04484892975398527,9.387236833293741,312.6211308137746,49.64977001978546
"   30P/Reinmuth 1",1.880973739593776,.5016105669476711,8.126270446090473,119.7278627210677,13.14619850371807
"   31P/Schwassmann-Wachmann 2",3.424117529748948,.1923761689172221,4.547250878205253,114.1886363733067,18.00595414977927
"   32P/Comas Sola",2.008565194966582,.5546485799036236,9.968516517217138,57.84360276824752,53.30658848884395
"   33P/Daniel",2.166724187043418,.4623598055003007,22.3861446076708,66.54083550078751,18.905300691195
"   34D/Gale",1.182907,0.760719,11.7281,67.9235,209.1572
"   36P/Whipple",3.088259362363905,.2591462074721685,9.932581139878453,182.398835502527,202.2127324759689
"   37P/Forbes",1.608848221279094,.534476713071357,8.962090696248872,314.6396914009586,330.0006658552098
"   40P/Vaisala 1",1.819771156172117,.6316152020645802,11.49264281940788,133.8401678570807,47.28885502172881
"   41P/Tuttle-Giacobini-Kresak",1.0450427369138,.6612506884287184,9.229131696230207,141.066286210229,62.15858521740492
"   42P/Neujmin 3",2.027755196838527,.5841747519155726,3.984591946246174,150.279966816504,147.120393793131
"   43P/Wolf-Harrington",1.357094479295572,.5949096247356784,15.97248249331635,249.8663360818902,191.5591866853453
"   44P/Reinmuth 2",2.108823707710431,.4283337284041179,5.900601267837073,286.5870653548788,58.22013646712932
"   45P/Honda-Mrkos-Pajdusakova",.5325129856954378,.8239728768241841,4.248163257767544,88.98173256883967,326.2819909297767
"   46P/Wirtanen",1.055355764253904,.6587595570783943,11.74759116219177,82.15764001105799,356.3410920516584
"   47P/Ashbrook-Jackson",2.818247659006634,.3171675842332894,13.02987725094421,356.9743281840909,357.6642778648413
"   48P/Johnson",2.302504592506113,.367807917750657,13.66072398811014,117.2894093488922,207.8209315334678
"   49P/Arend-Rigaux",1.423808363517312,.6004829876132673,19.04974290079465,118.8832638538708,332.7826069103319
"   50P/Arend",1.922161808831259,.5298191651919552,19.16230981680282,355.3247745531997,49.01451533157994
"   51P/Harrington",1.699602249252703,.542437041421476,5.424389279818731,83.70082476433753,269.2756022819647
"   51P/Harrington-A",1.568096864999769,.5620663599153678,8.654956945930117,119.1877795469232,233.587839407905
"   51P/Harrington-D",1.646282145601325,.5524980225643705,5.408234874963838,84.56410029483207,269.1090870083974
"   52P/Harrington-Abell",1.773109732844502,.5403891098664094,10.23159989032961,336.8516374874541,139.5984423127618
"   53P/Van Biesbroeck",2.426218348989635,.5510744634278288,6.611254102620895,148.8977993028672,134.2654652081746
"   54P/de Vico-Swift-NEAT",2.1717640349767100005351,0.4270474945217546114406,6.0671607093682196065742,358.8600316230779,1.933331420129209
"   56P/Slaughter-Burnham",2.505832507178138,.5073072932202485,8.147233422215407,346.0397842419798,44.21475392696136
"   57P/duToit-Neujmin-Delporte",1.72872449611193,.4992889286810742,2.848332280065132,188.7994329470437,115.214272881255
"   57P/duToit-Neujmin-Delporte-A",1.72939044107225,0.499040120360139,2.84481020036925,188.9256753142995,115.2325343233014
"   58P/Jackson-Neujmin",1.38117347463859,0.661506727386572,13.4784074178521,160.714868044197,200.3582618971439
"   59P/Kearns-Kwee",2.35163154126014,.4763732522282405,9.342506163347114,312.864104234953,127.7380243417494
"   60P/Tsuchinshan 2",1.619511457218346,.5385486170391682,3.609030486894438,267.6621316408426,216.4921496275937
