# NEOS: Updated 2020-02
full_name,q,e,i,w,om
"   433 Eros (1898 DQ)",1.132972604730079,.2229512543292728,10.83054270817127,178.8822944710369,304.2993267065293
"   719 Albert (1911 MT)",1.196451768853785,.5465584655556549,11.56748481626451,156.1763376346919,183.8669501883418
"   887 Alinda (1918 DB)",1.062886290965601,.5703317209528221,9.393853627381491,350.49558500,110.4342181592923
"  1036 Ganymed (1924 TD)",1.244303470673,.5330461318945989,26.67764314200324,132.3646310922465,215.5468257685835
"  1221 Amor (1932 EA1)",1.083969613792352,.4352848879791655,11.87653558869486,26.69479666981462,171.3269978394355
"  1566 Icarus (1949 MA)",.1865002298448085,.8270213269059251,22.82211332714178,31.39334350716884,87.99754359357092
"  1580 Betulia (1950 KA)",1.126368444043296,.4873502364761739,52.09207037962277,159.5179483080446,62.29781712181257
"  1620 Geographos (1951 RA)",.8278019306164731,.3354548036029504,13.3370435855576,276.9560671147486,337.1869754759956
"  1627 Ivar (1929 SH)",1.123957806499344,.3967830588196115,8.451869770564416,167.7934601990287,133.1193451203942
"  1685 Toro (1948 OA)",.7715415366897262,.4358371096227467,9.383133496885494,127.206583918429,274.2452424498807
"  1862 Apollo (1932 HA)",.6470743869214266,.5599167578535014,6.35472768570347,285.9759655430256,35.627120028386
"  1863 Antinous (1948 EA)",.888668640880965,.6065072158844008,18.40043539987664,268.0670173978571,346.4403117745943
"  1864 Daedalus (1971 FA)",.5632269004942688,.6144701421273314,22.21196032356083,325.633376934215,6.621947209415596
"  1865 Cerberus (1971 UA)",.5757954323787924,.4668530872323081,16.09595153284522,325.2455054774687,212.9201811283403
"  1866 Sisyphus (1972 XA)",.8747312806037155,.5380833049908103,41.1992904214528,293.0630046449527,63.49080088393157
"  1915 Quetzalcoatl (1953 EA)",1.092231384064897,.5705651799672322,20.40461297143561,347.8324357485029,162.9367848834301
"  1916 Boreas (1953 RA)",1.251013261488361,.4496411692779488,12.88010279727569,335.8670316010159,340.5990726483071
"  1917 Cuyo (1968 AA)",1.062702251631366,.505507552971821,23.9591615107847,194.5059464758155,188.3070364014256
"  1943 Anteros (1973 EC)",1.064270778844837,.2559951667053227,8.706205566935322,338.3739695841051,246.3297677858405
"  1980 Tezcatlipoca (1950 LA)",1.086328296691978,.3645634486002244,26.86722513240693,115.4449630670586,246.5733691542223
"  1981 Midas (1973 EA)",.6211516031761328,.6503515185443661,39.82959158651654,267.8229782489384,356.8640430531864
"  2059 Baboquivari (1963 UA)",1.240318637711133,.5309192936167383,11.01363541845904,192.432572095585,200.6943275270537
"  2061 Anza (1960 UA)",1.05121959385884,.5357481024728322,3.799037434393745,157.0250594819688,207.3796064802848
"  2062 Aten (1976 AA)",.790140764328748,.1827171340905242,18.93368681084476,148.0354055966093,108.6003764318441
"  2063 Bacchus (1977 HB)",.7012949351055603,.3495079288087141,9.431132064706487,55.36126235349508,33.08306674761002
"  2100 Ra-Shalom (1978 RA)",.4688233456465669,.4365426450849241,15.75298268029101,356.0511815131421,170.8036967383967
"  2101 Adonis (1936 CA)",.442467851664863,.763997171408006,1.322476326023118,43.6083126078566,349.4861473994169
"  2102 Tantalus (1975 YA)",.9042044530032034,.2991482323440258,64.00699339624019,61.54106240090461,94.36249231492405
"  2135 Aristaeus (1977 HA)",.795161803222831,.5030136617821045,23.05815456689635,290.9094337662466,191.1800911267857
"  2201 Oljato (1947 XC)",.6242109777501252,.7128855212674332,2.522429202495983,98.24724876350736,74.98703322352544
"  2202 Pele (1972 RA)",1.116044548159235,.5126979851228336,8.742254785198798,217.9079063942871,169.9571385232429
"  2212 Hephaistos (1978 SB)",.350509335967115,.8376667029769949,11.55177461309936,209.3949295673669,27.53026120798623
"  2329 Orthos (1976 WA)",.8335218679863586,.6540343067965716,24.47085213465938,146.0398939722225,169.2759242748681
"  2340 Hathor (1976 UA)",.4642038295088863,.4498841655895494,5.854591233229053,39.92629416655726,211.5421370750162
"  2368 Beltrovata (1977 RA)",1.234952982638521,.4133577609202115,5.223636168557607,43.00914992355501,287.3373909315201
"  2608 Seneca (1978 DA)",1.079567532398386,.5709673236567876,14.67274945506941,37.38316178994204,167.3469303119492
"  3102 Krok (1981 QA)",1.184601626853305,.4493181912157588,8.441614523045063,154.7422009690975,172.0638477698048
"  3103 Eger (1982 BB)",.9069257152380068,.3541491619901507,20.93087916476784,254.0818869746415,129.7524654889583
"  3122 Florence (1981 ET3)",1.020796561665261,.4229445910453244,22.14249624858464,27.84781486656305,336.0638555801969
"  3199 Nefertiti (1982 RA)",1.127347637091919,.2839877521113218,32.96249953498466,53.42212518168246,339.9912092972017
"  3200 Phaethon (1983 TB)",.1400651749776319,.8898311206936256,22.25951171307781,322.1867098330639,265.2176958865816
"  3271 Ul (1982 RB)",1.26971729011255,.395867985128419,25.07050400019739,159.0775409258467,158.8162187568392
"  3288 Seleucus (1982 DV)",1.10581337682292,.4561159601903964,5.929923368345668,349.3408127549374,218.639775957357
"  3352 McAuliffe (1981 CW)",1.185532485003911,.3691144429108559,4.77334097778362,15.91541090983284,107.3623279784191
"  3360 Syrinx (1981 VA)",.6259710065303297,.7461017392794402,21.16213486260597,63.46119544074979,242.5535904561594
"  3361 Orpheus (1982 HR)",.8192414985359853,.3227518287938224,2.685064208145241,301.6952073346065,189.5305495453812
"  3362 Khufu (1984 QA)",.5259531954596882,.4684786225760869,9.91690600813587,55.05400164486407,152.4336909462086
"  3551 Verenia (1983 RD)",1.07399176521712,.4868495546542013,9.50709774721107,193.2539001829902,173.7865513281061
